State,Dem-2016,Rep-2016,Margin-2016,Dem-2012,Rep-2012,Margin-2012,shift,avg
Alabama,0.34,0.62,0.28,0.38,0.61,0.221,-0.06,0.2505
Alaska,0.37,0.51,0.14,0.41,0.55,0.14,0.00,0.14
Arizona,0.45,0.48,0.03,0.45,0.54,0.091,0.06,0.0605
Arkansas,0.34,0.61,0.27,0.37,0.61,0.237,-0.03,0.2535
California,0.62,0.32,-0.3,0.60,0.37,-0.231,0.07,-0.2655
Colorado,0.48,0.43,-0.05,0.52,0.46,-0.054,0.00,-0.052
Connecticut,0.55,0.41,-0.14,0.58,0.41,-0.174,-0.03,-0.157
Delaware,0.53,0.42,-0.11,0.59,0.40,-0.186,-0.08,-0.148
Florida,0.47,0.49,0.02,0.50,0.49,-0.009,-0.03,0.0055
Georgia,0.45,0.5,0.05,0.46,0.53,0.078,0.03,0.064
Hawaii,0.62,0.3,-0.32,0.71,0.28,-0.427,-0.11,-0.3735
Idaho,0.28,0.59,0.31,0.33,0.65,0.319,0.01,0.3145
Illinois,0.55,0.38,-0.17,0.58,0.41,-0.169,0.00,-0.1695
Indiana,0.38,0.57,0.19,0.44,0.54,0.102,-0.09,0.146
Iowa,0.42,0.51,0.09,0.52,0.46,-0.058,-0.15,0.016
Kansas,0.36,0.56,0.2,0.38,0.60,0.217,0.02,0.2085
Kentucky,0.33,0.63,0.3,0.38,0.61,0.227,-0.07,0.2635
Louisiana,0.38,0.58,0.2,0.41,0.58,0.172,-0.03,0.186
Maine,0.48,0.45,-0.03,0.56,0.41,-0.153,-0.12,-0.0915
Maryland,0.6,0.34,-0.26,0.62,0.36,-0.261,0.00,-0.2605
Massachusetts,0.6,0.33,-0.27,0.61,0.38,-0.232,0.04,-0.251
Michigan,0.47,0.47,0,0.54,0.45,-0.095,-0.10,-0.0475
Minnesota,0.46,0.45,-0.01,0.53,0.45,-0.077,-0.07,-0.0435
Mississippi,0.4,0.58,0.18,0.44,0.55,0.115,-0.06,0.1475
Montana,0.38,0.56,0.18,0.44,0.54,0.094,-0.09,0.137
Montana,0.35,0.56,0.21,0.42,0.55,0.137,-0.07,0.1735
Nebraska,0.34,0.59,0.25,0.38,0.60,0.218,-0.03,0.234
Nevada,0.48,0.46,-0.02,0.52,0.46,-0.067,-0.05,-0.0435
New Hampshire,0.47,0.47,0,0.52,0.47,-0.055,-0.06,-0.0275
New Jersey,0.55,0.41,-0.14,0.58,0.41,-0.177,-0.04,-0.1585
New Mexico,0.48,0.4,-0.08,0.53,0.43,-0.102,-0.02,-0.091
New York,0.59,0.37,-0.22,0.63,0.35,-0.282,-0.06,-0.251
North Carolina,0.46,0.5,0.04,0.48,0.50,0.02,-0.02,0.03
North Dakota,0.27,0.63,0.36,0.39,0.58,0.196,-0.16,0.278
Ohio,0.43,0.51,0.08,0.51,0.48,-0.03,-0.11,0.025
Oklahoma,0.29,0.65,0.36,0.33,0.67,0.336,-0.02,0.348
Oregon,0.5,0.39,-0.11,0.54,0.42,-0.121,-0.01,-0.1155
Pennsylvania,0.48,0.48,0,0.52,0.47,-0.054,-0.05,-0.027
Rhode Island,0.54,0.39,-0.15,0.63,0.35,-0.275,-0.13,-0.2125
South Carolina,0.41,0.55,0.14,0.44,0.55,0.105,-0.04,0.1225
South Dakota,0.32,0.62,0.3,0.40,0.58,0.18,-0.12,0.24
Tennessee,0.35,0.61,0.26,0.39,0.60,0.204,-0.06,0.232
Texas,0.43,0.52,0.09,0.41,0.57,0.158,0.07,0.124
Utah,0.27,0.45,0.18,0.25,0.73,0.481,0.30,0.3305
Vermont,0.57,0.3,-0.27,0.67,0.31,-0.356,-0.09,-0.313
Virginia,0.5,0.44,-0.06,0.51,0.47,-0.039,0.02,-0.0495
Washington,0.53,0.37,-0.16,0.56,0.41,-0.149,0.01,-0.1545
West Virginia,0.26,0.68,0.42,0.36,0.62,0.268,-0.15,0.344
Wisconsin,0.47,0.47,0,0.53,0.46,-0.069,-0.07,-0.0345
Wyoming,0.22,0.68,0.46,0.28,0.69,0.408,-0.05,0.434
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Totals,51.10%,47.20%,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
