Name,Party
Michael Crapo,Democratic
Frederica Wilson,Democratic
Chuck Fleischmann,Republican
Steny Hoyer,Democratic
Thomas Carper,Democratic
John Dingell,Democratic
Kirsten Gillibrand,Democratic
Cory Booker,Democratic
Elizabeth Esty,Democratic
Orrin Hatch,Republican
Kerry Bentivolio,Democratic
John Rockefeller IV,Republican
Bob Casey,Republican
Sander Levin,Democratic
C.A. Dutch Ruppersberger,Democratic
Timothy Bishop,Democratic
Edward Markey,Democratic
Scott Peters,Democratic
Adam Schiff,Democratic
Robert Scott,Democratic
Robert Goodlatte,Republican
Yvette Clarke,Democratic
Michael McCaul,Republican
Nita Lowey,Democratic
Tom Rooney,Republican
Tim Walz,Democratic
Patrick Leahy,Democratic
Jim Langevin,Democratic
Barbara Mikulski,Democratic
Jim Himes,Democratic
John Boehner,Republican
Joe Heck,Republican
Phil Roe,Republican
Peter Roskam,Democratic
Bill Enyart,Democratic
Eleanor Norton,Democratic
John Culberson,Democratic
Donna Edwards,Democratic
Donald Payne Jr.,Democratic
Pat Meehan,Democratic
Michael Fitzpatrick,Republican
Sheila Jackson-Lee,Democratic
André Carson,Democratic
Robert Wittman,Republican
Sean Maloney,Democratic
Benjamin Cardin,Democratic
Cedric Richmond,Democratic
Patrick McHenry,Republican
Edward Whitfield,Republican
Stephen Fincher,Democratic
John Delaney,Democratic
Brad Wenstrup,Republican
Candice Miller,Republican
Mark Pryor,Democratic
David Price,Democratic
Jim McGovern,Democratic
Frank Pallone,Democratic
Michael Turner,Republican
Scott Tipton,Democratic
Raul Labrador,Republican
Charles Grassley,Republican
David McKinley,Republican
Dave Joyce,Republican
Dan Maffei,Republican
Brad Schneider,Democratic
Shelley Capito,Republican
Angus King,Democratic
Jeffrey Duncan,Republican
Jeffrey Denham,Republican
Jim Renacci,Democratic
Renee Ellmers,Democratic
Bill Pascrell Jr.,Democratic
Keith Rothfus,Democratic
Ann Kuster,Democratic
K. Conaway,Republican
Michael Honda,Democratic
Frank LoBiondo,Republican
Chris Gibson,Republican
Eddie Johnson,Democratic
Alan Lowenthal,Democratic
Robert Aderholt,Republican
Rick Crawford,Republican
Charles Boustany Jr.,Republican
Tony Cardenas,Democratic
Paul Gosar,Republican
Pete Gallego,Democratic
Michael Enzi,Republican
Mary Landrieu,Democratic
Eliot Engel,Democratic
Kristi Noem,Republican
Emanuel Cleaver II,Democratic
Joe Manchin III,Democratic
Michael Burgess,Republican
Jan Schakowsky,Democratic
Richard Durbin,Democratic
John Carter,Republican
Linda Sanchez,Democratic
Louise Slaughter,Democratic
Richard Neal,Democratic
Rosa DeLauro,Democratic
Roger Wicker,Democratic
Peter Visclosky,Democratic
Steve Pearce,Democratic
Susan Collins,Republican
Steven Chabot,Republican
Steve Southerland,Republican
Hakeem Jeffries,Democratic
Elijah Cummings,Democratic
Richard Hanna,Republican
Anna Eshoo,Democratic
Christopher Coons,Democratic
Susan Brooks,Republican
Marcia Fudge,Democratic
James Moran,Democratic
Bruce Braley,Democratic
Charles Rangel,Democratic
Michael Bennet,Democratic
Dennis Ross,Republican
Raúl Grijalva,Democratic
Lynn Westmoreland,Republican
Marc Veasey,Democratic
Joseph Kennedy III,Democratic
Gus Bilirakis,Republican
Sanford Bishop Jr.,Democratic
Walter Jones,Republican
Terri Sewell,Democratic
John Carney,Democratic
Frank Wolf,Republican
John Duncan Jr.,Republican
Mike Grimm,Republican
Dave Loebsack,Democratic
Dan Kildee,Democratic
Gary Peters,Democratic
Steven Palazzo,Democratic
David Cicilline,Democratic
Frank Lautenberg,Democratic
David Valadao,Democratic
Rodney Frelinghuysen,Republican
Rick Nolan,Republican
Kay Hagan,Democratic
John Conyers Jr.,Democratic
Sean Duffy,Republican
Grace Napolitano,Democratic
Dave Reichert,Democratic
James Clyburn,Democratic
Ted Deutch,Democratic
Robin Kelly,Democratic
Reid Ribble,Republican
Marlin Stutzman,Republican
Patrick Toomey,Republican
Randy Weber,Republican
Gerald Connolly,Democratic
José Serrano,Democratic
Richard Shelby,Democratic
Carolyn Maloney,Democratic
Mark Amodei,Republican
Ted Yoho,Republican
John Tierney,Democratic
Stephen Lynch,Democratic
Mark Warner,Democratic
Susan Davis,Democratic
Ed Royce,Democratic
Ben Lujan,Democratic
Robert Latta,Republican
William Thornberry,Republican
Morgan Griffith,Republican
Bennie Thompson,Democratic
Hank Johnson,Democratic
Gregory Meeks,Democratic
Paul Ryan,Democratic
Scott Rigell,Republican
John Larson,Democratic
John Yarmuth,Democratic
Ralph Hall,Democratic
J. Forbes,Republican
F. Sensenbrenner,Republican
Henry Waxman,Democratic
Bobby Rush,Democratic
Peter King,Republican
Michael Michaud,Democratic
William Cowan,Democratic
Madeleine Bordallo,Democratic
G. Butterfield,Democratic
Michael Capuano,Democratic
Katherine Clark,Democratic
Danny Davis,Democratic
Peter DeFazio,Democratic
Mike Doyle,Democratic
Charlie Dent,Republican
Suzan DelBene,Democratic
Luis Gutierrez,Democratic
Alcee Hastings,Democratic
Rubén Hinojosa,Democratic
James Inhofe,Democratic
Bill Keating,Democratic
Cynthia Lummis,Democratic
John Mica,Democratic
Doris Matsui,Democratic
Beto O'Rourke,Democratic
Pedro Pierluisi,Democratic
Charles Schumer,Democratic
Mike Simpson,Republican
Gregorio 'Kilili' Sablan,Independent
Pat Tiberi,Republican
Nydia Velázquez,Democratic
