Name,Party
Michael Crapo,Republican
Frederica Wilson,Democrat
Chuck Fleischmann,Republican
Steny Hoyer,Democrat
Thomas Carper,Democrat
John Dingell,Democrat
Kirsten Gillibrand,Democrat
Cory Booker,Democrat
Elizabeth Esty,Democrat
Orrin Hatch,Republican
Kerry Bentivolio,Republican
John Rockefeller IV,Democrat
Bob Casey,Democrat
Sander Levin,Democrat
C.A. Dutch Ruppersberger,Democrat
Timothy Bishop,Democrat
Edward Markey,Democrat
Scott Peters,Democrat
Adam Schiff,Democrat
Robert Scott,Democrat
Robert Goodlatte,Republican
Yvette Clarke,Democrat
Michael McCaul,Republican
Nita Lowey,Democrat
Tom Rooney,Republican
Tim Walz,Democrat
Patrick Leahy,Democrat
Jim Langevin,Democrat
Barbara Mikulski,Democrat
Jim Himes,Democrat
John Boehner,Republican
Joe Heck,Republican
Phil Roe,Republican
Peter Roskam,Republican
Bill Enyart,Democrat
Eleanor Norton,Democrat
John Culberson,Republican
Donna Edwards,Democrat
Donald Payne Jr.,Democrat
Pat Meehan,Republican
Michael Fitzpatrick,Republican
Sheila Jackson-Lee,Democrat
André Carson,Democrat
Robert Wittman,Republican
Sean Maloney,Democrat
Benjamin Cardin,Democrat
Cedric Richmond,Democrat
Patrick McHenry,Republican
Edward Whitfield,Republican
Stephen Fincher,Republican
John Delaney,Democrat
Brad Wenstrup,Republican
Candice Miller,Republican
Mark Pryor,Democrat
David Price,Democrat
Jim McGovern,Democrat
Frank Pallone,Democrat
Michael Turner,Republican
Scott Tipton,Republican
Raul Labrador,Republican
Charles Grassley,Republican
David McKinley,Republican
Dave Joyce,Republican
Dan Maffei,Democrat
Brad Schneider,Democrat
Shelley Capito,Republican
Angus King,Independent
Jeffrey Duncan,Republican
Jeffrey Denham,Republican
Jim Renacci,Republican
Renee Ellmers,Republican
Bill Pascrell Jr.,Democrat
Keith Rothfus,Republican
Ann Kuster,Democrat
K. Conaway,Republican
Michael Honda,Democrat
Frank LoBiondo,Republican
Chris Gibson,Republican
Eddie Johnson,Democrat
Alan Lowenthal,Democrat
Robert Aderholt,Republican
Rick Crawford,Republican
Charles Boustany Jr.,Republican
Tony Cardenas,Democrat
Paul Gosar,Republican
Pete Gallego,Democrat
Michael Enzi,Republican
Mary Landrieu,Democrat
Eliot Engel,Democrat
Kristi Noem,Republican
Emanuel Cleaver II,Democrat
Joe Manchin III,Democrat
Michael Burgess,Republican
Jan Schakowsky,Democrat
Richard Durbin,Democrat
John Carter,Republican
Linda Sanchez,Democrat
Louise Slaughter,Democrat
Richard Neal,Democrat
Rosa DeLauro,Democrat
Roger Wicker,Republican
Peter Visclosky,Democrat
Steve Pearce,Republican
Susan Collins,Republican
Steven Chabot,Republican
Steve Southerland,Republican
Hakeem Jeffries,Democrat
Elijah Cummings,Democrat
Richard Hanna,Republican
Anna Eshoo,Democrat
Christopher Coons,Democrat
Susan Brooks,Republican
Marcia Fudge,Democrat
James Moran,Democrat
Bruce Braley,Democrat
Charles Rangel,Democrat
Michael Bennet,Democrat
Dennis Ross,Republican
Raúl Grijalva,Democrat
Lynn Westmoreland,Republican
Marc Veasey,Democrat
Joseph Kennedy III,Democrat
Gus Bilirakis,Republican
Sanford Bishop Jr.,Democrat
Walter Jones,Republican
Terri Sewell,Democrat
John Carney,Democrat
Frank Wolf,Republican
John Duncan Jr.,Republican
Mike Grimm,Republican
Dave Loebsack,Democrat
Dan Kildee,Democrat
Gary Peters,Democrat
Steven Palazzo,Republican
David Cicilline,Democrat
Frank Lautenberg,Democrat
David Valadao,Republican
Rodney Frelinghuysen,Republican
Rick Nolan,Democrat
Kay Hagan,Democrat
John Conyers Jr.,Democrat
Sean Duffy,Republican
Grace Napolitano,Democrat
Dave Reichert,Republican
James Clyburn,Democrat
Ted Deutch,Democrat
Robin Kelly,Democrat
Reid Ribble,Republican
Marlin Stutzman,Republican
Patrick Toomey,Republican
Randy Weber,Republican
Gerald Connolly,Democrat
José Serrano,Democrat
Richard Shelby,Republican
Carolyn Maloney,Democrat
Mark Amodei,Republican
Ted Yoho,Republican
John Tierney,Democrat
Stephen Lynch,Democrat
Mark Warner,Democrat
Susan Davis,Democrat
Ed Royce,Republican
Ben Lujan,Democrat
Robert Latta,Republican
William Thornberry,Republican
Morgan Griffith,Republican
Bennie Thompson,Democrat
Hank Johnson,Democrat
Gregory Meeks,Democrat
Paul Ryan,Republican
Scott Rigell,Republican
John Larson,Democrat
John Yarmuth,Democrat
Ralph Hall,Republican
J. Forbes,Republican
F. Sensenbrenner,Republican
Henry Waxman,Democrat
Bobby Rush,Democrat
Peter King,Republican
Michael Michaud,Democrat
William Cowan,Democrat
